Grain ID,Area pixels^2,Diameter pixels,Diameter mm,Circularity,Center X,Center Y
1,931.0,34.43,4.8264,0.671,13,21
2,937.0,34.54,4.8419,0.387,468,20
3,550.0,26.46,3.7096,0.388,1051,69
4,486.0,24.88,3.4871,0.726,557,117
5,604.5,27.74,3.8891,0.819,34,151
6,859.5,33.08,4.6373,0.315,712,204
7,673.0,29.27,4.1035,0.46,510,207
8,760.0,31.11,4.3607,0.332,385,253
9,1287.0,40.48,5.6746,0.352,572,285
10,1094.5,37.33,5.233,0.291,462,289
11,1643.5,45.74,6.4126,0.3,36,322
12,701.0,29.88,4.188,0.553,560,346
13,765.0,31.21,4.375,0.372,236,379
14,356.0,21.29,2.9845,0.389,7,399
15,1162.5,38.47,5.3932,0.339,1351,421
16,1472.0,43.29,6.0688,0.234,1167,416
17,575.5,27.07,3.7946,0.433,1398,420
18,1205.5,39.18,5.492,0.269,1029,424
19,536.5,26.14,3.6638,0.522,381,430
20,665.0,29.1,4.079,0.237,1231,446
21,1204.0,39.15,5.4886,0.432,84,515
22,93325.0,344.71,48.3221,0.629,1070,697
23,885.5,33.58,4.707,0.463,825,551
24,692.0,29.68,4.161,0.314,1416,556
25,696.0,29.77,4.173,0.393,555,559
26,1040.0,36.39,5.1011,0.63,1420,643
27,1803.0,47.91,6.7165,0.396,314,665
28,676.0,29.34,4.1126,0.51,395,685
29,447.5,23.87,3.3461,0.303,284,687
30,469.5,24.45,3.4274,0.663,689,694
31,583.5,27.26,3.8209,0.643,1251,734
32,795.5,31.83,4.4614,0.537,16,735
33,1130.0,37.93,5.3172,0.377,483,748
34,1409.0,42.36,5.9375,0.283,849,922
35,1358.0,41.58,5.829,0.538,579,913
36,1211.5,39.28,5.5056,0.636,488,938
37,503.5,25.32,3.5493,0.505,895,975
38,1448.5,42.95,6.0201,0.268,594,990
39,680.0,29.42,4.1248,0.403,266,1007
